국가별,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
코스타리카,538.32,534.57,544.74,567.51,576.97,587.29,584.90,620.78,647.14,544.05
코트디부아르,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
콜롬비아,2001.11,2741.78,3055.26,2951.49,2955.70,3281.62,3693.28,3744.24,4256.19,4325.96
콩고,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
콩고민주공화국,925.23,925.98,1010.30,1464.42,1622.52,1647.76,1851.12,1989.39,-,-
쿠웨이트,0.28,0.30,0.30,0.30,0.30,0.30,0.31,0.30,0.31,0.31
크로아티아,5.75,6.86,6.81,6.62,6.28,6.62,6.61,6.36,7.16,-
키르기즈스탄,53.65,64.46,69.91,68.87,68.84,69.79,77.35,84.64,84.12,87.86
키리바시,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44,1.51
타지키스탄,4.94,6.16,7.84,8.55,9.15,9.53,10.32,11.31,11.03,10.84
탄자니아,1653.23,1991.39,2177.09,2228.86,2263.78,2288.21,2294.15,2297.76,-,-
태국,32.48,34.25,35.30,33.94,32.31,31.05,31.29,31.98,35.06,34.80
토고,493.76,591.21,592.61,580.66,555.45,585.91,575.59,554.53,623.76,606.57
통가,1.85,2.11,2.22,2.21,2.24,2.29,2.30,2.26,2.33,2.36
튀니지,1.70,1.96,2.15,2.42,2.65,2.93,2.81,2.79,3.10,3.11
튀르키예,2.19,2.72,3.02,3.65,4.83,5.67,7.01,8.85,16.55,23.74
트리니다드토바고,6.41,6.38,6.67,6.78,6.77,6.75,6.75,6.76,6.75,6.75
파나마,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
파라과이,4462.19,5204.92,5670.54,5618.93,5732.10,6240.72,6771.10,6774.16,6982.75,7288.87
파키스탄,101.10,102.77,104.77,105.46,121.82,150.04,161.84,162.91,204.87,280.36
파푸아뉴기니,2.46,2.77,3.13,3.19,3.29,3.39,3.46,3.51,3.52,-
팔라우,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
페루,2.84,3.18,3.38,3.26,3.29,3.34,3.49,3.88,3.84,3.74
폴란드,3.15,3.77,3.94,3.78,3.61,3.84,3.90,3.86,4.46,4.20
피지,1.89,2.10,2.09,2.07,2.09,2.16,2.17,2.07,2.20,2.25
필리핀,44.40,45.50,47.49,50.40,52.66,51.80,49.62,49.25,54.48,55.63
헝가리,232.60,279.33,281.52,274.43,270.21,290.66,308.00,303.14,372.60,353.09
홍콩,7.75,7.75,7.76,7.79,7.84,7.84,7.76,7.77,7.83,7.83
